paragraphId,chapterTitle,subChapterTitle,content,summary,dataType
1,Objective ,,"The objective of this Standard is to specify Disclosure Requirements which will enable users of the sustainability statement to understand:\n (a) how the undertaking affects pollution of air, water and soil, in terms of material positive and negative actual or potential impacts;\n (b) any actions taken, and the result of such actions, to prevent or mitigate actual or potential negative impacts, and to address risks and opportunities;\n (c) the plans and capacity of the undertaking to adapt its strategy and business model in line with the transition to a sustainable economy and with the need to prevent, control 2 and eliminate pollution. This is to create a toxic-free environment with zero pollution also in support of the EU Action Plan “Towards a Zero Pollution for Air, Water and Soil”;\n (d) the nature, type and extent of the undertaking’s material risks and opportunities related to the undertaking’s pollution-related impacts and dependencies, as well as the prevention, control, elimination or reduction of pollution, including where this results from the application of regulations, and how the undertaking manages this; and\n (e) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s pollution-related impacts and dependencies.",,
2,Objective ,,"This Standard sets out Disclosure Requirements related to the following sustainability matters: pollution of air, water, soil, substances of concern, including substances of very high concern.",,
3,Objective ,,"“Pollution of air” refers to the undertaking’s emissions into air (both indoor and outdoor), and prevention, control and reduction of such emissions.",,
4,Objective ,,"“Pollution of water” refers to the undertaking’s emissions to water, and prevention, control and reduction of such emissions.",,
5,Objective ,,"“Pollution of soil” refers to the undertaking’s emissions into soil and the prevention, control and reduction of such emissions.",,
6,Objective ,,"With regard to “substances of concern”, this standard covers the undertaking’s production, use and/or distribution and commercialisation of substances of concern, including substances of very high concern. Disclosure Requirements on substances of concern aim at providing users with an understanding of actual or potential impacts related to such substances, also taking account of possible restrictions on their use and/or distribution and commercialisation.",,
7,Interaction with other ESRS ,,"The topic of pollution is closely connected to other environmental sub-topics such as climate change, water and marine resources, biodiversity and circular economy. Thus, to provide a comprehensive overview of what could be material to pollution, relevant Disclosure Requirements are covered in other environmental Standards as follows:\n (a) ESRS E1 Climate change which addresses the following seven greenhouse gases connected to air pollution: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6) and nitrogen trifluoride (NF3).\n (b) ESRS E3 Water and marine resources which addresses water consumption, in particular in areas at water risk, water recycling and storage. This also includes the responsible management of marine resources, including the nature and quantity of marine resources-related commodities (such as gravels, deep-sea minerals, seafood) used by the undertaking. This Standard covers the negative impacts, in terms of pollution of water and marine resources, including microplastics, generated by such activities.\n (c) ESRS E4 Biodiversity and ecosystems which addresses ecosystems and species. Pollution as a direct impact driver of biodiversity loss is addressed by this Standard.\n (d) ESRS E5 Resource use and circular economy which addresses, in particular, the transition away from extraction of non-renewable resources and the implementation of practices that prevent waste generation, including pollution generated by waste.",,
8,Interaction with other ESRS ,,The undertaking’s pollution-related impacts may affect people and communities. Material negative impacts on affected communities from pollution-related impacts attributable to the undertaking are covered in ESRS S3 Affected communities.,,
9,Interaction with other ESRS ,,This Standard should be read in conjunction with ESRS 1 General requirements and ESRS 2 General disclosures.,,
10,Disclosure Requirements,ESRS 2 General disclosures,"The requirements of this section should be read in conjunction with and reported alongside the disclosures required by ESRS 2 chapter 4 Impact, risk and opportunity management.",,
